"Feature.ID","Old.Taxon","Domain","Phylum","Subphylum","Order","Family","Genus","Species","Confidence","Taxon"
"f0b9e3c8f22e34b5d670c9b209e9299c","D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales;D_4__Rubinisphaeraceae;D_5__SH-PL14;D_6__uncultured bacterium","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","SH-PL14","uncultured bacterium",0.996384236966309,"Bacteria_Planctomycetes_Planctomycetales_Rubinisphaeraceae_SH-PL14_uncultured bacterium_7"
"44954843a640b98472fea818e3bfe5dc","D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Pedosphaerales;D_4__Pedosphaeraceae;D_5__uncultured subdivision 3 bacterium;D_6__uncultured subdivision 3 bacterium","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured subdivision 3 bacterium",NA,0.870229476187802,"Bacteria_Verrucomicrobia_Pedosphaerales_Pedosphaeraceae_uncultured subdivision 3 bacterium_1"
"a73d091d6f6d00f5922091896faee9a2","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,0.999311620155524,"Bacteria_Proteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas_8"
"429b0ac8bb694efc42d2b646c879eb41","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-014;D_6__uncultured bacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-014","uncultured bacterium",0.733804166837115,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_Ruminococcaceae UCG-014_uncultured bacterium_6"
"5db04ddee694a63feaacbc5cc7b3f311","D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Thermomicrobiales;D_4__JG30-KF-CM45","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA,NA,0.996943947718031,"Bacteria_Chloroflexi_Thermomicrobiales_JG30-KF-CM45_10"
"429d14d321d1241123a36211a3e9ae85","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Christensenellaceae;D_5__Christensenellaceae R-7 group","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group",NA,0.987936176911078,"Bacteria_Firmicutes_Clostridiales_Christensenellaceae_Christensenellaceae R-7 group_56"
"53775afc36f2e5f1999c0580588e0d2d","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Tyzzerella 3","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella 3",NA,0.978720600795599,"Bacteria_Firmicutes_Clostridiales_Lachnospiraceae_Tyzzerella 3_58"
"2b7c69915e90c2f8aa60a310b75032bd","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Reyranellales;D_4__Reyranellaceae;D_5__uncultured;D_6__uncultured bacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","uncultured","uncultured bacterium",0.999991838049296,"Bacteria_Proteobacteria_Reyranellales_Reyranellaceae_uncultured_uncultured bacterium_1"
"628c86853a37aae804c273754aa94c46","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,0.999969421024219,"Bacteria_Firmicutes_Clostridiales_Lachnospiraceae_16"
"a4629bf3eb6704bd587095764d9775fe","D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Holophagales;D_4__Holophagaceae;D_5__uncultured;D_6__uncultured bacterium","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","uncultured","uncultured bacterium",0.947861280359917,"Bacteria_Acidobacteria_Holophagales_Holophagaceae_uncultured_uncultured bacterium_1"
