"Sample.ID","Lifestage","Gut.Region","Stage.Gut","Sex","Domain","Phylum","Abundance","totalAbun","relativeAbun"
"hind39","adult","hindgut","Adult hindgut","female","Bacteria","Actinobacteria",4,16881,0.0236952787157159
"hind39","adult","hindgut","Adult hindgut","female","Bacteria","Bacteroidetes",6673,16881,39.529648717493
"hind39","adult","hindgut","Adult hindgut","female","Bacteria","Cyanobacteria",3,16881,0.0177714590367869
"hind39","adult","hindgut","Adult hindgut","female","Bacteria","Deferribacteres",244,16881,1.44541200165867
"hind39","adult","hindgut","Adult hindgut","female","Bacteria","Firmicutes",6121,16881,36.2597002547243
"hind39","adult","hindgut","Adult hindgut","female","Bacteria","Proteobacteria",3834,16881,22.7119246490137
"hind4","adult","hindgut","Adult hindgut","female","Bacteria","Actinobacteria",86,29124,0.295289108638923
"hind4","adult","hindgut","Adult hindgut","female","Bacteria","Bacteroidetes",7678,29124,26.3631369317401
"hind4","adult","hindgut","Adult hindgut","female","Bacteria","Deferribacteres",2893,29124,9.93338827084192
"hind4","adult","hindgut","Adult hindgut","female","Bacteria","Firmicutes",9314,29124,31.9804971844527
"hind4","adult","hindgut","Adult hindgut","female","Bacteria","Planctomycetes",693,29124,2.37948084054388
"hind4","adult","hindgut","Adult hindgut","female","Bacteria","Proteobacteria",8449,29124,29.010438126631
"hind4","adult","hindgut","Adult hindgut","female","Bacteria","Verrucomicrobia",11,29124,0.0377695371514902
"hind40","adult","hindgut","Adult hindgut","male","Bacteria","Actinobacteria",99,28052,0.352916013118494
"hind40","adult","hindgut","Adult hindgut","male","Bacteria","Bacteroidetes",10704,28052,38.1577071153572
"hind40","adult","hindgut","Adult hindgut","male","Bacteria","Deferribacteres",102,28052,0.363610437758449
"hind40","adult","hindgut","Adult hindgut","male","Bacteria","Firmicutes",7576,28052,27.0069870240981
"hind40","adult","hindgut","Adult hindgut","male","Bacteria","Planctomycetes",38,28052,0.135462712106089
"hind40","adult","hindgut","Adult hindgut","male","Bacteria","Proteobacteria",9497,28052,33.8549836018822
"hind40","adult","hindgut","Adult hindgut","male","Bacteria","Tenericutes",36,28052,0.128333095679452
"hind41","adult","hindgut","Adult hindgut","male","Bacteria","Actinobacteria",42,21089,0.199155958082413
"hind41","adult","hindgut","Adult hindgut","male","Bacteria","Bacteroidetes",7656,21089,36.3032860733084
"hind41","adult","hindgut","Adult hindgut","male","Bacteria","Deferribacteres",111,21089,0.526340746360662
"hind41","adult","hindgut","Adult hindgut","male","Bacteria","Firmicutes",6530,21089,30.9640096732894
"hind41","adult","hindgut","Adult hindgut","male","Bacteria","Planctomycetes",27,21089,0.128028830195837
"hind41","adult","hindgut","Adult hindgut","male","Bacteria","Proteobacteria",6665,21089,31.6041538242686
"hind41","adult","hindgut","Adult hindgut","male","Bacteria","Tenericutes",58,21089,0.27502489449476
"hind46","adult","hindgut","Adult hindgut","female","Bacteria","Actinobacteria",115,23740,0.48441449031171
"hind46","adult","hindgut","Adult hindgut","female","Bacteria","Bacteroidetes",7989,23740,33.6520640269587
"hind46","adult","hindgut","Adult hindgut","female","Bacteria","Deferribacteres",53,23740,0.223251895534962
"hind46","adult","hindgut","Adult hindgut","female","Bacteria","Firmicutes",6897,23740,29.0522325189553
"hind46","adult","hindgut","Adult hindgut","female","Bacteria","Planctomycetes",8,23740,0.033698399326032
"hind46","adult","hindgut","Adult hindgut","female","Bacteria","Proteobacteria",8674,23740,36.5374894692502
"hind46","adult","hindgut","Adult hindgut","female","Bacteria","Tenericutes",4,23740,0.016849199663016
"hind48","adult","hindgut","Adult hindgut","female","Archaea","Euryarchaeota",3,19718,0.0152145247996754
"hind48","adult","hindgut","Adult hindgut","female","Bacteria","Actinobacteria",43,19718,0.218074855462014
"hind48","adult","hindgut","Adult hindgut","female","Bacteria","Bacteroidetes",7941,19718,40.2728471447409
"hind48","adult","hindgut","Adult hindgut","female","Bacteria","Deferribacteres",406,19718,2.05903235622274
"hind48","adult","hindgut","Adult hindgut","female","Bacteria","Firmicutes",5262,19718,26.6862764986307
"hind48","adult","hindgut","Adult hindgut","female","Bacteria","Planctomycetes",40,19718,0.202860330662339
"hind48","adult","hindgut","Adult hindgut","female","Bacteria","Proteobacteria",6002,19718,30.439192615884
"hind48","adult","hindgut","Adult hindgut","female","Bacteria","RsaHF231",21,19718,0.106501673597728
"hind49","adult","hindgut","Adult hindgut","female","Bacteria","Actinobacteria",15,13636,0.110002933411558
"hind49","adult","hindgut","Adult hindgut","female","Bacteria","Bacteroidetes",4165,13636,30.5441478439425
"hind49","adult","hindgut","Adult hindgut","female","Bacteria","Deferribacteres",36,13636,0.264007040187738
"hind49","adult","hindgut","Adult hindgut","female","Bacteria","Firmicutes",1303,13636,9.55558814901731
"hind49","adult","hindgut","Adult hindgut","female","Bacteria","Planctomycetes",5,13636,0.0366676444705192
"hind49","adult","hindgut","Adult hindgut","female","Bacteria","Proteobacteria",8045,13636,58.9982399530654
"hind49","adult","hindgut","Adult hindgut","female","Bacteria","Tenericutes",67,13636,0.491346435904958
"hind7","adult","hindgut","Adult hindgut","male","Bacteria","Actinobacteria",69,20485,0.336831828166951
"hind7","adult","hindgut","Adult hindgut","male","Bacteria","Bacteroidetes",4050,20485,19.7705638271906
"hind7","adult","hindgut","Adult hindgut","male","Bacteria","Firmicutes",2924,20485,14.2738589211618
"hind7","adult","hindgut","Adult hindgut","male","Bacteria","Planctomycetes",17,20485,0.0829875518672199
"hind7","adult","hindgut","Adult hindgut","male","Bacteria","Proteobacteria",13403,20485,65.4283622162558
"hind7","adult","hindgut","Adult hindgut","male","Bacteria","RsaHF231",4,20485,0.019526482792287
"hind7","adult","hindgut","Adult hindgut","male","Bacteria","Tenericutes",18,20485,0.0878691725652917
"Ileum12","larva","ileum","Larval ileum","","Archaea","Euryarchaeota",60,6826,0.878992089071198
"Ileum12","larva","ileum","Larval ileum","","Archaea","Thaumarchaeota",72,6826,1.05479050688544
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Acidobacteria",34,6826,0.498095517140346
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Actinobacteria",377,6826,5.52300029299736
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Bacteroidetes",61,6826,0.893641957222385
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Chloroflexi",94,6826,1.37708760621154
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Cloacimonetes",3,6826,0.0439496044535599
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Cyanobacteria",2,6826,0.0292997363023733
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Deferribacteres",3,6826,0.0439496044535599
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Firmicutes",4787,6826,70.1289188397304
